state	county	fips	trump16	trump16_pct	clinton16	clinton16_pct	otherpres16	otherpres16_pct	romney12	romney12_pct	obama12	obama12_pct	otherpres12	otherpres12_pct	senaterace16	houserace16	govrace16	total_population	cvap	voterturnout16_pct	voterturnout12_pct	voterturnout_pct_diff	white_pct	nonwhite_pct	black_pct	hispanic_pct	foreignborn_pct	female_pct	age29andunder_pct	age65andolder_pct	median_hh_inc	clf_unemploy_pct	lesshs_pct	lesscollege_pct	rural_pct	RepWon16
Alabama	Colbert	1033	16746	67.212522576761	7312	29.3477824603652	857	3.43969496287377	13936	59.5937566816335	9166	39.19606585418	283	1.21017746418644	Race	Race	No Race	54377	42235	58.9913578785368	55.3687699775068	3.62258790102995	78.8531916067455	21.1468083932545	15.6481600676757	2.40175074020266	1.56132188241352	51.687294260441	35.5885760523751	18.4526546150027	43786	7.52588989979456	16.5765200804787	81.5290951373102	43.8946865583891	1
Alabama	Conecuh	1035	3420	51.9362186788155	3080	46.7729688686409	85	1.29081245254366	3439	48.9746510965537	3555	50.6266021076616	28	0.398746795784677	Race	Race	No Race	12697	9825	67.0229007633588	71.470737913486	-4.44783715012723	50.7206426714972	49.2793573285028	46.2156414901158	1.76419626683469	0.850594628652438	52.524218319288	35.6540915176813	20.2646294400252	27609	20.4278523489933	20.5722070844687	91.3374205267938	80.9495010583611	1
Alabama	Coosa	1037	3381	64.3754760091394	1782	33.9299314546839	89	1.69459253617669	3049	57.8667678876447	2191	41.5828430442209	29	0.550389068134371	Race	Race	No Race	10864	8755	59.988577955454	60.1827527127356	-0.194174757281552	65.0220913107511	34.9779086892489	32.3637702503682	1.28865979381443	1.25184094256259	50.7087628865979	31.0843151693667	18.6671575846834	31910	12.5758282781148	27.0646262805109	90.0594410016441	100	1
Alabama	Covington	1039	13267	83.2308657465496	2387	14.9749058971142	286	1.79422835633626	12153	78.7978992413927	3158	20.4759125980678	112	0.726188160539454	Race	Race	No Race	37729	29295	54.4120157023383	52.647209421403	1.7648062809353	83.5140077924143	16.4859922075857	12.9767552810835	1.5319780540168	0.954173182432612	51.7108855257229	35.3441649659413	20.1781123273874	37313	10.6594902251918	19.0661331722784	85.0785142684584	69.6517939891434	1
Alabama	Crenshaw	1041	4513	72.0121270145205	1664	26.5517791606829	90	1.43609382479655	4331	67.4820816453724	2050	31.9414147709567	37	0.576503583670926	Race	Race	No Race	13896	10535	59.4874228761272	60.9207403891789	-1.43331751305174	70.8693149107657	29.1306850892343	23.6758779504894	1.6839378238342	2.28842832469775	50.61168681635	36.8955094991364	17.5086355785838	37557	7.35557363710334	21.6835933410114	85.352319128887	100	1
Alabama	Cullman	1043	32989	87.1042695323845	3798	10.028252316954	1086	2.86747815066142	28999	84.1599674957193	5052	14.6617523289898	406	1.17828017529094	Race	Race	No Race	81316	61625	61.457200811359	55.9139959432049	5.54320486815416	92.4639677308279	7.53603226917213	1.03669634512273	4.21319297555217	2.83339072261302	50.5632347877416	36.9324610162822	17.7517339760933	39297	6.06475679771515	17.8435097562275	85.0309820144523	73.2395592368729	1
Alabama	Dale	1045	13808	73.6465944850392	4413	23.5372553202837	528	2.81615019467705	13108	70.6364175243843	5286	28.4852077383198	163	0.878374737295899	Race	Race	No Race	49607	37405	50.1243149311589	49.6110145702446	0.513300360914307	70.1917068155704	29.8082931844296	19.4025036789163	5.8882818957002	2.74558026085028	50.726711955974	39.982260568065	15.4292740943818	44093	10.3924418604651	14.1653928004076	83.9313011419836	50.8885395315516	1
Alabama	Dallas	1047	5789	30.8056619838229	12836	68.3056619838229	167	0.888676032354193	6288	30.0100224311554	14612	69.7370304968262	53	0.252947072018327	Race	Race	No Race	41426	30615	61.3816756491916	68.4403070390332	-7.05863138984159	28.0693284410757	71.9306715589243	69.4974170810602	0.958335344952445	1.47250518997731	53.8260995510066	40.6990778737991	15.6761454159224	28136	14.8970170454545	20.98158147792	86.2156964272505	45.6389776357827	0
Alabama	DeKalb	1049	21405	82.8815921939131	3622	14.0246263455433	799	3.09378146054364	18331	76.8176675187529	5239	21.9544902149772	293	1.22784226626996	Race	Race	No Race	70937	49580	52.089552238806	48.1302944735781	3.95925776522792	81.0155490082749	18.9844509917251	1.47736724135501	14.0152529709461	7.27687948461311	50.4715451738867	39.0459139800104	15.5320918561541	38248	6.33996117024838	27.3629848229342	88.6340640809444	90.1306445035087	1
Alabama	Elmore	1051	27634	74.1653247450349	8443	22.6596886741814	1183	3.17498658078368	26253	73.9833732563055	8954	25.233197125546	278	0.783429618148514	Race	Race	No Race	80957	61485	60.6001463771652	57.7132633975766	2.88688297958853	73.6885013031609	26.3114986968391	21.1124424076979	2.80148720925924	1.95165334683845	51.3976555455365	38.6637350692343	13.8876193534839	53398	7.47316153013953	13.171974522293	77.761601455869	54.1883661399947	1
