City	Index	Nonfarm employment	Size
Hanford-Corcoran, CA	53.1	39.3 	S 
Lansing-East Lansing, MI	52.3	237.8 	M 
Manchester, NH NECTA	52.1	112.0 	S 
Cleveland, TN	52.1	48.9 	S 
Bakersfield, CA	51.9	261.8 	M 
Sheboygan, WI	51.8	62.7 	S 
Palm Bay-Melbourne-Titusville, FL	51.8	214.3 	M 
Albany-Schenectady-Troy, NY	51.7	472.9 	L 
Allentown-Bethlehem-Easton, PA-NJ	51.6	371.0 	M 
Camden, NJ Metro Div	51.5	548.2 	L 
Harrisonburg, VA	51.2	68.4 	S 
Tallahassee, FL	51.2	182.6 	M 
Fargo, ND-MN	50.9	141.3 	S 
Lafayette-West Lafayette, IN	50.7	104.6 	S 
Salisbury, MD-DE	50.1	151.6 	M 
State College, PA	49.9	79.5 	S 
Owensboro, KY	49.6	54.5 	S 
Clarksville, TN-KY	49.5	90.1 	S 
Fort Wayne, IN	49.3	223.0 	M 
Ithaca, NY	49.2	64.9 	S 
San Angelo, TX	49.1	49.5 	S 
Jackson, TN	48.8	68.7 	S 
Tulsa, OK	48.7	456.6 	L 
Ocala, FL	48.6	102.5 	S 
Richmond, VA	48.4	670.9 	L 
Spokane-Spokane Valley, WA	48.3	244.1 	M 
Kalamazoo-Portage, MI	48.1	149.0 	S 
El Centro, CA	47.5	53.9 	S 
Lynn-Saugus-Marblehead, MA NECTA Division	47.2	45.8 	S 
Nassau County-Suffolk County, NY Metro Div	47.2	1,342.2 	L 
Delaware County, PA	46.7	238.0 	M 
Omaha-Council Bluffs, NE-IA	46.7	501.5 	L 
Janesville-Beloit, WI	46.5	68.4 	S 
Brownsville-Harlingen, TX	46.4	141.2 	S 
Urban Honolulu, HI	46.3	482.6 	L 
Jackson, MS	46.3	283.0 	M 
Oshkosh-Neenah, WI	46	98.2 	S 
Dayton, OH	46	393.6 	M 
Pueblo, CO	45.9	62.3 	S 
Lebanon, PA	45.8	52.4 	S 
Warner Robins, GA	45.7	74.0 	S 
Chambersburg-Waynesboro, PA	45.6	61.3 	S 
Springfield, MA-CT NECTA	45.5	336.6 	M 
New Bedford, MA NECTA	45.2	67.6 	S 
Green Bay, WI	45	177.8 	M 
Baton Rouge, LA	44.7	406.7 	M 
Cincinnati, OH-KY-IN	44.7	1,089.6 	L 
Dutchess County-Putnam County, NY Metro Div	44.6	149.8 	S 
Muskegon, MI	44.6	64.7 	S 
La Crosse-Onalaska, WI-MN	44.5	79.6 	S 
Providence-Warwick, RI-MA NECTA	44.3	591.4 	L 
Lake County-Kenosha County, IL-WI Metro Div	44.1	414.1 	M 
Orange-Rockland-Westchester, NY	44	718.1 	L 
Abilene, TX	43.7	69.5 	S 
Oxnard-Thousand Oaks-Ventura, CA	43.5	306.4 	M 
Chicago-Naperville-Arlington Heights, IL Metro Div	43.3	3,748.6 	L 
Columbia, SC	43.2	395.5 	M 
Columbia, MO	43.2	100.1 	S 
Lincoln, NE	43	189.0 	M 
Montgomery County-Bucks County-Chester County, PA Metro Div	43	1,066.3 	L 
Rochester, MN	42.9	119.6 	S 
Morristown, TN	42.8	46.3 	S 
Bergen-Hudson-Passaic, NJ	42.6	934.3 	L 
Little Rock-North Little Rock-Conway, AR	42.4	360.8 	M 
Jackson, MI	42.3	58.5 	S 
Elgin, IL Metro Div	42.1	259.4 	M 
Hickory-Lenoir-Morganton, NC	41.9	154.3 	M 
South Bend-Mishawaka, IN-MI	41.4	144.0 	S 
Greenville, NC	41	80.3 	S 
Sumter, SC	40.9	39.6 	S 
Pittsburgh, PA	40.6	1,183.7 	L 
Memphis, TN-MS-AR	40.3	652.0 	L 
Appleton, WI	40.3	125.3 	S 
Duluth, MN-WI	39.6	137.3 	S 
Scranton--Wilkes-Barre--Hazleton, PA	39.5	266.5 	M 
Buffalo-Cheektowaga-Niagara Falls, NY	39.2	568.3 	L 
Detroit-Dearborn-Livonia, MI Metro Div	39.2	760.7 	L 
Winston-Salem, NC	39.1	265.2 	M 
Rome, GA	39	41.4 	S 
Elizabethtown-Fort Knox, KY	39	56.2 	S 
Reading, PA	38.8	179.4 	M 
Dover, DE	38.5	69.6 	S 
St. Louis, MO-IL	38	1,377.2 	L 
Silver Spring-Frederick-Rockville, MD Metro Div	37.7	593.2 	L 
York-Hanover, PA	37.6	186.9 	M 
Gadsden, AL	37.2	38.2 	S 
St. Joseph, MO-KS	36.9	64.7 	S 
Wausau, WI	36.6	73.1 	S 
Tucson, AZ	36.5	382.9 	M 
Yuma, AZ	36.5	56.0 	S 
Florence, SC	36.4	88.5 	S 
Harrisburg-Carlisle, PA	36.4	341.2 	M 
Peabody-Salem-Beverly, MA NECTA Division	35.7	97.1 	S 
Lawrence, KS	35.5	53.6 	S 
Taunton-Middleborough-Norton, MA NECTA Division	35.4	60.3 	S 
Amarillo, TX	35.4	120.6 	S 
Monroe, MI	34.6	42.3 	S 
Nashua, NH-MA NECTA Division	34.2	129.4 	S 
Fond du Lac, WI	34.1	48.2 	S 
Calvert-Charles-Prince George's, MD	34	413.5 	M 
Billings, MT	34	84.4 	S 
Brunswick, GA	33.9	43.5 	S 
Montgomery, AL	33.8	178.4 	M 
Bismarck, ND	33.6	72.3 	S 
Albuquerque, NM	33.5	391.4 	M 
Champaign-Urbana, IL	33.4	111.4 	S 
Davenport-Moline-Rock Island, IA-IL	33.3	186.1 	M 
New Orleans-Metairie, LA	33.1	575.8 	L 
Kingston, NY	32.7	62.1 	S 
Dubuque, IA	32.6	60.0 	S 
Hagerstown-Martinsburg, MD-WV	32.6	106.6 	S 
