AcresBurned	Year	month	Location	Name
38	2013	08	Off Bartlett Springs Road near Indian Valley Reservoir, 10 miles northeast of Clearlake Oaks	Indian Fire
38	2013	07	off Fallon Rd & Camino Tassajara near Dublin 	Fallon Fire
35	2013	06	off McKinley Ave & Academy Ave, north of Sanger 	Michelle Fire
35	2013	05	Cayucos Creek Rd & Thunder Canyon Rd north of Cayucos	Cottontail Fire
34	2013	08	Honey Bee Road, West of Redding	Honey Fire
33	2013	11	Off Dersch Rd and Hyrax, Millville	Dersch Fire
31	2013	07	near the 4500 block of Chuckwagon Drive, Copperopolis	Chuckwagon Fire
30	2013	09	near the community of Clearlake	Lakeshore Fire
30	2013	06	Lakeshore Drive and Patterson Drive in Clearlake Oaks	Lake Fire
30	2013	04	west of Delamar Mountain, north of the community of Fawnskin, northside of Big Bear Lake	Fawnskin Fire
28	2013	06	throughout Sonoma, Solano, Lake & Colusa Counties	Sonoma-Lake-Napa Unit Lightning Fires
28	2013	06	throughout Sonoma, Solano, Lake & Colusa Counties	Sonoma-Lake-Napa Unit Lightning Fires
28	2013	06	throughout Sonoma, Solano, Lake & Colusa Counties	Sonoma-Lake-Napa Unit Lightning Fires
28	2013	06	throughout Sonoma, Solano, Lake & Colusa Counties	Sonoma-Lake-Napa Unit Lightning Fires
27	2013	08	Cloverdale Rd. and Dale Rd., Happy Valley, 9 miles SW of Redding	Cloverdale Fire
25	2013	07	Barrett Lake Road and Highway 94	Flume Fire
25	2013	06	Off Konocti Rd & Oak Hills Ln, east of Kelseyville	Mount Fire
25	2013	05	Off Sunset Ave & Mesa St in Banning	Cherry Fire
23	2013	11	Off Dam Rd, southeast of Clear Lake	Dam Fire
15	2013	12	off Refuse Road near Covelo	Refuse Fire
15	2013	07	Hwy 60 east of Gilman Springs Rd, east of Moreno Valley	Gilman Fire
15	2013	05	Off Range Circle Dr in Yosemite Lake	Ranger Fire
0	2013	08	10 miles east of Somes Bar, California	Orleans Complex
0	2013	06	Hathaway Canyon area, northeast of Banning	Hathaway Fire
97717	2014	09	Near Pollock Pines	King Fire
50042	2014	08	Whites Fire approximately 4 miles East of Sawyer Bar<p> Log Fire approximately 6 miles West of Greenview<p>Leef Fire approximately 7 miles Southwest of Callahan. 	July Complex
39736	2014	07	8 miles southeast of Fall River Mills	Bald Fire
35302	2014	07	Community of Copco, South of Oregon Border	Oregon Gulch Fire (part of the Beaver Complex)
32496	2014	07	north of Highway 96, off of Beaver Creek Road	Beaver Fire
32416	2014	07	12 miles southeast of Burney near Old Station	Eiler Fire
14416	2014	05	Off Interstate 5 at Las Pulgas Rd, north of Oceanside	Pulgas Fire
13838	2014	07	Rock Creek Drainage, south of Mammoth Pool Reservoir	French Fire
13153	2014	07	North of the community of Day	Day Fire
12661	2014	07	Plantina Road at Bland Road, Igo	Bully Fire
12536	2014	07	Wilderness Lodge and Eel River Canyon area	Lodge Lightning Complex
6488	2014	07	Hwy 128 at Monticello Dam, southeast shore of Lake Berryessa 	Monticello Fire
6258	2014	07	East Fork of the Coffee Creek Drainage	Coffee Fire
5503	2014	07	near Little Deer Mountain along Highway 97	Little Deer Fire
5367	2014	05	Traveled from Naval Weapons Station, Fallbrook and is now on Camp Pendleton 	Tomahawk Fire
4840	2014	06	Nacimiento Fergusson Road & Stoney Valley, Fort Hunter Liggett	Stoney Fire
4772	2014	08	East of Little Yosemite Valley	Meadow Fire
4689	2014	07	Near Highway 140 and community of El Portal	El Portal Fire
4300	2014	07	Off Butts Canyon Rd in Pope Valley, northwest of Lake Berryessa	Butts Fire
4300	2014	07	Off Butts Canyon Rd in Pope Valley, northwest of Lake Berryessa	Butts Fire
4240	2014	07	East of Highway 49, 5 miles north of Plymouth	Sand Fire
4240	2014	07	East of Highway 49, 5 miles north of Plymouth	Sand Fire
4045	2014	08	north side of Hwy 155, northwest of Wofford Heights	Way Fire
3895	2014	06	3 Miles south of Shirley Meadows	Shirley Fire
2143	2014	04	North of Rancho Cucamonga	Etiwanda Fire
1995	2014	05	Village Drive and Twin Oaks Road, San Marcos	Cocos Fire
1952	2014	01	near Morris Reservoir, north of Glendora	Colby Fire
1680	2014	07	Kelso Valley/Onyx area	Nicolls Fire 
1651	2014	07	15 fires across the Modoc National Forest	Modoc Lightning Complex
1548	2014	05	off Nighthawk Lane, southwest of Rancho Bernardo	Bernardo Fire
1469	2014	07	Off highway 139, 15 miles north of Canby - The fire is burning on the east side of Hwy 139	Gulch Fire
1457	2014	05	in the Talega area of Marine Corps Base Camp Pendleton	San Mateo Fire
1375	2014	09	On Backbone Ridge, east of Bella Vista, 15 miles northeast of Redding	Gulch Fire
1080	2014	07	near the Yosemite Creek Campground.	Dark Hole Fire
968	2014	09	off of Silverado Canyon Road south of Corona	Silverado Fire
865	2014	01	Ishi Wilderness, north of Campbellville in the Lassen National Forest	Campbell Fire
677	2014	05	Hunters Valley area, near the southeast shore of Lake McClure	Hunters Fire
632	2014	05	Off Santa Miguelito Canyon Road in Lompoc	Miguelito Fire
612	2014	08	off Road 425A, near the Hwy 41 and Hwy 49 junction in Oakhurst	Junction Fire
600	2014	05	off Poinsettia Ln & Alicante Rd in Carlsbad	Poinsettia Fire
580	2014	08	off Hwy 299 at Oregon Mountain Summit, near Weaverville	Oregon Fire
516	2014	09	City of Weed	Boles Fire
487	2014	06	near Bonds Flat Rd & La Grange Rd (J59), west of Don Pedro Reservoir	59 Fire
459	2014	10	on the eastside of Interstate 80 in the Applegate area	Applegate Fire
403	2014	09	Black Bart Trail, North of Lake Mendocino	Black Fire
400	2014	03	Off Encinal Rd, 8 miles southeast of Salinas	Encinal Fire
389	2014	07	Web Hollow & Big Chico Creek near Forest Ranch	Web Fire
