Player	Position	Team	Receptions	Yards	AvgYds	Longest	TDs	YDS/G	TAR	20+	FUM	YAC	1DN
Codey McElroy	TE	TB	1	30	30	30	0	30	1	1	0	-1	1
Cody Core	WR	NYG	3	28	9.3	11	0	1.8	5	0	0	3	2
Pharaoh Brown	TE	CLE	2	27	13.5	18	0	3	3	0	0	14	1
Ryan Switzer	WR	PIT	8	27	3.4	8	0	3	11	0	0	18	2
Cam Sims	WR	WSH	2	27	13.5	15	0	3.9	3	0	0	9	1
Tanner Hudson	TE	TB	2	26	13	14	0	2.9	5	0	0	2	1
Johnny Mundt	TE	LAR	4	26	6.5	9	0	2	7	0	0	11	1
Russell Shepard	WR	NYG	3	25	8.3	12	0	8.3	8	0	0	15	1
Darren Sproles	RB	PHI	6	24	4	7	0	4	10	0	0	31	1
Deonte Harris	WR	NO	6	24	4	13	0	1.7	6	0	0	38	2
Nick Bellore	FB	SEA	2	23	11.5	20	1	1.6	2	1	0	20	2
Nick Scott	S	LAR	1	23	23	23	0	1.4	1	1	0	23	1
Devine Ozigbo	RB	JAX	3	23	7.7	12	0	2.3	5	0	0	20	1
Benny Snell Jr.	RB	PIT	3	23	7.7	14	0	1.8	4	0	0	25	0
Michael Crabtree	WR	ARI	4	22	5.5	9	0	11	5	0	0	6	0
Anthony Sherman	FB	KC	2	22	11	15	0	1.4	3	0	0	27	2
Kenjon Barner	RB	ATL	6	22	3.7	13	0	1.6	8	0	0	24	1
Spencer Ware	RB	KC	5	22	4.4	18	0	7.3	7	0	1	16	1
Mike Davis	RB	CHI/CAR	7	22	3.1	7	0	1.8	8	0	0	30	1
Da'Mari Scott	WR	NYG	2	22	11	11	0	4.4	3	0	0	14	2
Justin Jackson	RB	LAC	9	22	2.4	9	0	3.1	11	0	0	39	0
Chris Moore	WR	BAL	3	21	7	13	0	1.5	5	0	0	11	0
Fred Brown	WR	DEN	2	21	10.5	16	0	1.6	3	0	0	0	1
Eric Saubert	TE	CHI	2	21	10.5	11	0	10.5	3	0	0	20	1
Johnny Holton	WR	PIT	3	21	7	18	0	1.3	15	0	0	9	1
Andre Roberts	WR	BUF	3	20	6.7	7	0	1.5	7	0	0	7	1
Josh Bellamy	WR	NYJ	2	20	10	15	0	2.9	3	0	0	10	1
Zach Zenner	RB	MIA/NO/ARI	2	19	9.5	13	0	4.8	3	0	0	20	2
David Blough	QB	DET	1	19	19	19	1	3.8	1	0	0	5	1
Marqise Lee	WR	JAX	3	18	6	8	0	3	4	0	0	5	2
Donte Moncrief	WR	PIT/CAR	4	18	4.5	11	0	3.6	15	0	0	3	1
Tra Carson	RB	DET/GB	4	18	4.5	8	0	6	4	0	0	15	0
Stanley Morgan	WR	CIN	3	18	6	9	0	1.6	10	0	0	11	0
Darius Jennings	WR	TEN	2	17	8.5	11	0	2.1	5	0	0	15	2
Robert Davis	WR	PHI/WSH	2	17	8.5	11	0	2.8	5	0	0	2	2
Nick Bawden	FB	DET	4	17	4.3	10	0	1.7	6	0	0	22	1
Mike Boone	RB	MIN	3	17	5.7	7	0	1.1	4	0	0	26	0
Ashton Dulin	WR	IND	2	17	8.5	13	0	1.3	2	0	0	23	0
Malcolm Brown	RB	LAR	2	16	8	10	0	1.1	6	0	0	7	0
Rashard Davis	WR	TEN	1	16	16	16	0	16	1	0	0	0	1
Ventell Bryant	WR	DAL	1	15	15	15	1	1.3	1	0	0	0	1
Michael Walker	WR	JAX	2	15	7.5	9	0	2.1	3	0	0	7	1
Josh Oliver	TE	JAX	3	15	5	6	0	3.8	6	0	0	6	0
Ryan Grant	WR	OAK	4	14	3.5	9	0	7	9	0	0	6	1
Troymaine Pope	RB	LAC	2	14	7	13	1	1	3	0	0	13	1
Mike Thomas	WR	LAR	2	14	7	9	0	0.9	5	0	0	10	1
Keith Smith	FB	ATL	1	13	13	13	0	0.8	3	0	0	13	1
T.J. Logan	RB	TB	2	13	6.5	11	0	1.1	3	0	0	9	1
Cethan Carter	TE	CIN	2	13	6.5	8	1	0.9	3	0	0	7	2
Cody Hollister	WR	TEN	2	13	6.5	11	0	2.6	2	0	0	1	0
Isaac Nauta	TE	DET	2	13	6.5	10	0	2.2	3	0	0	7	1
Sean Culkin	TE	LAC	1	12	12	12	0	3	2	0	0	3	1
Jeff Smith	WR	NYJ	1	12	12	12	0	12	2	0	0	-1	1
Scott Simonson	TE	NYG	2	11	5.5	10	0	2.2	2	0	0	3	1
Chris Manhertz	TE	CAR	1	11	11	11	0	0.7	1	0	0	9	1
Tyler Ervin	RB	GB/JAX	2	11	5.5	6	0	1.1	4	0	0	11	1
Kevin Byard	S	TEN	1	11	11	11	0	0.7	1	0	0	8	1
John Ursua	WR	SEA	1	11	11	11	0	3.7	1	0	0	0	1
Antony Auclair	TE	TB	1	11	11	11	0	1.4	3	0	0	8	1
Levine Toilolo	TE	SF	2	10	5	8	0	0.8	2	0	0	14	0
Taiwan Jones	RB	HOU	1	9	9	9	0	0.8	1	0	0	12	0
Elijhaa Penny	RB	NYG	2	9	4.5	9	0	0.6	4	0	0	21	0
Javorius Allen	RB	NYG	1	9	9	9	0	0.9	2	0	0	5	0
Ben Koyack	TE	JAX	1	9	9	9	0	0.8	3	0	0	3	0
Paul Perkins	RB	DET	1	9	9	9	0	2.3	1	0	0	10	0
Austin Carr	WR	NO	1	9	9	9	0	1.5	4	0	0	4	1
Kerrith Whyte	RB	PIT	1	9	9	9	0	1.5	1	0	0	11	1
Ricky Ortiz	FB	NO	1	8	8	8	0	8	1	0	0	7	0
Jordan Thomas	TE	HOU	1	8	8	8	0	1.6	3	0	0	3	0
Dwayne Harris	WR	OAK	1	7	7	7	0	2.3	1	0	0	8	0
Cody Davis	S	JAX	1	7	7	7	0	0.4	1	0	0	6	1
Chris Herndon	TE	NYJ	1	7	7	7	0	7	2	0	0	5	0
Qadree Ollison	RB	ATL	1	7	7	7	0	0.9	2	0	0	3	1
De'Anthony Thomas	WR	KC/BAL	1	6	6	6	0	0.4	2	0	0	3	0
Jeff Driskel	QB	DET	1	6	6	6	0	2	1	0	0	10	0
Dwayne Washington	RB	NO	1	6	6	6	0	0.4	1	0	0	12	0
Dalton Schultz	TE	DAL	1	6	6	6	0	0.4	2	0	0	1	0
Deshaun Watson	QB	HOU	1	6	6	6	1	0.4	1	0	0	6	1
Jaleel Scott	WR	BAL	1	6	6	6	0	2	3	0	0	5	0
Alex Armah	FB	CAR	2	6	3	4	0	0.4	2	0	0	7	0
Tyrone Swoopes	TE	SEA	1	5	5	5	0	1	1	0	0	7	0
Jakob Johnson	FB	NE	1	5	5	5	0	1.3	2	0	0	1	0
Charles Jones	TE	JAX	1	5	5	5	0	1.3	1	0	0	2	0
Bo Scarbrough	RB	DET	1	5	5	5	0	0.8	4	0	0	8	0
Roosevelt Nix	FB	PIT	2	4	2	4	0	1.3	3	0	0	10	0
Darrell Daniels	TE	ARI	1	4	4	4	0	0.4	3	0	0	0	1
Zach Gentry	TE	PIT	1	4	4	4	0	1	1	0	0	3	1
Krishawn Hogan	WR	NO	1	4	4	4	0	0.5	1	0	0	2	0
Xavier Grimble	TE	PIT	1	3	3	3	0	1	3	0	0	3	0
Cyril Grayson	WR	TB	1	3	3	3	0	1.5	1	0	0	1	0
Jacoby Brissett	QB	IND	1	2	2	2	0	0.1	1	0	0	8	0
Dennis Kelly	OT	TEN	1	1	1	1	1	0.1	1	0	0	0	1
David Quessenberry	G	TEN	1	1	1	1	1	0.3	1	0	0	0	1
Senorise Perry	RB	BUF	1	1	1	1	0	0.1	1	0	0	1	0
Eric Tomlinson	TE	OAK/NE/NYG	1	1	1	1	0	0.5	1	0	0	1	0
Dion Dawkins	OT	BUF	1	1	1	1	1	0.1	1	0	0	0	1
Wes Hills	RB	DET	2	1	0.5	2	0	1	2	0	0	3	0
Darrius Shepherd	WR	GB	1	1	1	1	0	0.2	2	0	0	3	0
Jonathan Hilliman	RB	NYG	3	1	0.3	5	0	0.3	4	0	1	9	0
Jason Sanders	PK	MIA	1	1	1	1	1	0.1	1	0	0	0	1
Vita Vea	DT	TB	1	1	1	1	1	0.1	1	0	0	0	1
Christian Wilkins	DT	MIA	1	1	1	1	1	0.1	1	0	1	0	1
Tyrod Taylor	QB	LAC	0	0	0	0	0	0	1	0	0	0	0
Kirk Cousins	QB	MIN	0	0	0	0	0	0	1	0	0	0	0
Jamize Olawale	FB	DAL	0	0	0	0	0	0	2	0	0	0	0
Deon Lacey	LB	MIA	0	0	0	0	0	0	1	0	0	0	0
Michael Burton	RB	WSH	0	0	0	0	0	0	1	0	0	0	0
Jay Ajayi	RB	PHI	0	0	0	0	0	0	1	0	0	0	0
George Fant	OT	SEA	0	0	0	0	0	0	1	0	0	0	0
Justin Hardee	CB	NO	0	0	0	0	0	0	1	0	0	0	0
Dalyn Dawkins	RB	TEN	0	0	0	0	0	0	1	0	0	0	0
Taywan Taylor	WR	CLE	0	0	0	0	0	0	1	0	0	0	0
Chad Williams	WR	IND	0	0	0	0	0	0	1	0	0	0	0
Michael Deiter	G	MIA	1	0	0	0	0	0	1	0	0	2	0
Travis Fulgham	WR	DET	0	0	0	0	0	0	3	0	0	0	0
Jace Sternberger	TE	GB	0	0	0	0	0	0	1	0	0	0	0
Dane Cruikshank	CB	TEN	0	0	0	0	0	0	1	0	0	0	0
Jalen Guyton	WR	LAC	0	0	0	0	0	0	2	0	0	0	0
Lil'Jordan Humphrey	WR	NO	0	0	0	0	0	0	1	0	0	0	0
David Long Jr.	CB	LAR	0	0	0	0	0	0	1	0	0	0	0
Jamal Agnew	CB	DET	1	-2	-2	0	0	-0.2	2	0	0	1	0
Kaleb McGary	OT	ATL	1	-3	-3	-3	0	-0.2	1	0	0	-3	0
Andy Dalton	QB	CIN	1	-4	-4	-4	0	-0.3	1	0	0	4	0
Quincy Enunwa	WR	NYJ	1	-4	-4	8	0	-4	3	0	1	-4	0
Garrett Bradbury	C	MIN	1	-4	-4	-4	0	-0.3	1	0	0	2	0
Wyatt Teller	G	CLE	1	-5	-5	-5	0	-0.3	1	0	0	-1	0
