SCHOOL	DISTRICT	CHARTER	ACT.COMPOSITE	TEST.TAKERS
Black Hawk High	Black Hawk	No	18.81	21
Wisconsin Dells High	Wisconsin Dells	No	18.81	120
Hillsboro High	Hillsboro	No	18.81	31
Little Wolf Junior/Senior High	Manawa	No	18.78	51
Greenfield High	Greenfield	No	18.78	285
Loyal High	Loyal	No	18.76	37
Berlin High	Berlin Area	No	18.74	133
Ozaukee High	Northern Ozaukee	No	18.72	60
Wausau Area Virtual Education	Wausau	Yes	18.71	7
Menasha High	Menasha Joint	No	18.71	210
Monona Grove Liberal Arts Charter School for the 21st Century	Monona Grove	Yes	18.69	16
Palmyra-Eagle High	Palmyra-Eagle Area	No	18.67	63
Hurley High	Hurley	No	18.65	42
Wausaukee High	Wausaukee	No	18.63	40
Dodgeland High	Dodgeland	No	18.62	61
Alma High	Alma	No	18.61	18
Stanley-Boyd High	Stanley-Boyd Area	No	18.6	50
East High	Appleton Area	No	18.59	322
Wauzeka High	Wauzeka-Steuben	No	18.59	22
George D Warriner High School for Personalized Learning	Sheboygan Area	Yes	18.56	29
Omro High	Omro	No	18.56	96
Phillips High	Phillips	No	18.56	55
Carmen High School of Science and Technology South Campus	Milwaukee	Yes	18.56	75
Turner High	Beloit Turner	No	18.53	105
Northern Lakes Regional Academy	Rice Lake Area	Yes	18.53	15
Hayward High	Hayward Community	No	18.53	124
Spencer Junior High/High	Spencer	No	18.52	65
ARISE Virtual Academy	Janesville	Yes	18.5	22
Antigo High	Antigo Unified	No	18.48	196
Ithaca High	Ithaca	No	18.48	33
Lincoln High	Manitowoc	No	18.47	306
Waupun Area Senior High	Waupun	No	18.47	138
West High	Appleton Area	No	18.45	258
Ladysmith High	Ladysmith	No	18.45	62
Bruce High	Bruce	No	18.43	30
LaFollette High	Madison Metropolitan	No	18.43	368
Birchwood High	Birchwood	No	18.42	12
Webster High	Webster	No	18.39	44
Veritas High	Seeds of Health Inc	Yes	18.38	50
Destinations Career Academy of Wisconsin High	McFarland	Yes	18.38	27
Wautoma High	Wautoma Area	No	18.36	101
Jefferson High	Jefferson	No	18.35	172
Cassville High	Cassville	No	18.35	20
Little Chute High	Little Chute Area	No	18.33	79
Edgar High	Edgar	No	18.32	49
Johnson Creek Middle and High	Johnson Creek	No	18.31	51
TAGOS Leadership Academy-Tailoring Academics to Guide our Students	Janesville	Yes	18.3	10
Holcombe High	Lake Holcombe	No	18.29	24
Reedsville High	Reedsville	No	18.27	46
Tomah High	Tomah Area	No	18.23	186
Monticello High	Monticello	No	18.23	27
Brodhead High	Brodhead	No	18.22	77
Colby High	Colby	No	18.22	61
The REAL School-Racine Educational Alternative Learning Experience	Racine Unified	No	18.17	35
Bayfield High	Bayfield	No	18.15	27
Osseo-Fairchild High	Osseo-Fairchild	No	18.15	77
John Dewey Academy of Learning	Green Bay Area Public	Yes	18.15	14
Riverdale High	Riverdale	No	18.14	36
Parker High	Janesville	No	18.14	292
Independence High	Independence	No	18.13	23
Granton High	Granton Area	No	18.13	15
Royall High	Royall	No	18.13	32
Gillett High	Gillett	No	18.1	32
Adams-Friendship High	Adams-Friendship Area	No	18.08	99
Horicon High	Horicon	No	18.08	61
Oakfield High	Oakfield	No	18.08	40
Lena High	Lena	No	18.08	24
Clintonville High	Clintonville	No	18.07	116
La Farge High	La Farge	No	18.07	15
Solon Springs School	Solon Springs	No	18.05	21
Clinton High	Clinton Community	No	18.04	81
Nathan Hale High	West Allis-West Milwaukee	No	18.02	291
Iowa-Grant High	Iowa-Grant	No	18.02	44
Marinette High	Marinette	No	18.01	119
Wisconsin Virtual Academy High (WIVA)	McFarland	Yes	18.01	166
Cornell High	Cornell	No	18	26
Fall River High	Fall River	No	17.97	33
Unity High	Unity	No	17.97	69
North Crawford High	North Crawford	No	17.96	29
Winter High	Winter	No	17.95	19
South High	Waukesha	No	17.91	200
Necedah High	Necedah Area	No	17.91	58
Tremper High	Kenosha	No	17.89	344
Preble High	Green Bay Area Public	No	17.85	532
Horace Mann High	North Fond du Lac	No	17.85	105
South High	Sheboygan Area	No	17.84	245
Phelps High	Phelps	No	17.83	18
Drummond High	Drummond Area	No	17.81	21
Pembine High	Beecher-Dunbar-Pembine	No	17.81	16
Cadott High	Cadott Community	No	17.81	47
Exploration Academy	Verona Area	Yes	17.8	12
Cambria Friesland Middle/High	Cambria-Friesland	No	17.79	34
Arcadia High	Arcadia	No	17.77	87
Cumberland High	Cumberland	No	17.77	55
Brookwood High	Norwalk-Ontario-Wilton	No	17.69	49
Peshtigo High	Peshtigo	No	17.68	72
Augusta High	Augusta	No	17.67	30
HAPA-Hmong American Peace Academy K3-12	Milwaukee	Yes	17.63	67
Cameron Academy of Virtual Education	Cameron	Yes	17.56	9
Shabazz-City High	Madison Metropolitan	No	17.53	46
High Marq Environmental Charter School	Montello	Yes	17.5	7
Abbotsford Middle/Senior High	Abbotsford	No	17.48	43
Meir School	Milwaukee	No	17.48	107
Lincoln High	Alma Center	No	17.47	37
Bowler High	Bowler	No	17.45	24
Black River Falls High	Black River Falls	No	17.44	112
Case High	Racine Unified	No	17.43	441
Saint Francis High	Saint Francis	No	17.42	123
Cudahy High	Cudahy	No	17.42	190
Crandon High	Crandon	No	17.38	55
Fond du Lac STEM Institute	Fond du Lac	Yes	17.33	12
Barron High	Barron Area	No	17.33	85
Neillsville Middle/High	Neillsville	No	17.32	69
Whitehall Memorial Junior/Senior High	Whitehall	No	17.29	49
Bangor Middle/High	Bangor	No	17.24	35
Suring High	Suring Public	No	17.21	28
Saint Croix Academy of Virtual Education	Saint Croix Central	Yes	17.2	24
Bradford High	Kenosha	No	17.17	311
Marshall High	Marshall	No	17.16	75
Delavan-Darien High	Delavan-Darien	No	17.12	153
Flambeau High	Flambeau	No	17.11	38
Pittsville High	Pittsville	No	17.07	42
Milwaukee School of Languages	Milwaukee	No	17.05	109
Mercer School	Mercer	No	17	13
New Horizons for Learning	Shorewood	Yes	17	6
Laona High	Laona	No	16.9	10
Mellen Public School	Mellen	No	16.9	22
7 Rivers Community High	La Crosse	Yes	16.89	9
Central High	West Allis-West Milwaukee	No	16.88	234
Siren High	Siren	No	16.85	48
Brown Deer Middle/High	Brown Deer	No	16.84	124
Carmen High School of Science and Technology Southeast Campus	Milwaukee	Yes	16.78	143
White Lake High	White Lake	No	16.75	8
West High	Green Bay Area Public	No	16.73	181
Gresham High	Gresham	No	16.65	25
Montello Junior/Senior High	Montello	No	16.63	51
Wonewoc-Center High	Wonewoc-Union Center	No	16.62	21
Tenor High	Seeds of Health Inc	Yes	16.53	49
iForward	Grantsburg	Yes	16.51	138
East High	Green Bay Area Public	No	16.51	269
New Auburn Jr-Sr High	New Auburn	No	16.45	22
Horlick High	Racine Unified	No	16.43	397
Memorial High	Beloit	No	16.41	339
Advanced Learning Academy of Wisconsin	Barron Area	Yes	16.33	7
Appleton Technical Academy	Appleton Area	Yes	16.32	23
Wabeno High	Wabeno Area	No	16.12	26
Portage Academy of Achievement	Portage Community	No	15.86	7
Walworth Co Educ Alt High	Elkhorn Area	Yes	15.73	14
Park High	Racine Unified	No	15.71	291
Innovative & Alternative High	Madison Metropolitan	No	15.67	7
Weston High	Weston	No	15.61	18
LaCrossroads Charter	La Crosse	Yes	15.55	13
Milwaukee High School of the Arts	Milwaukee	No	15.47	194
Milwaukee Academy of Science	Milwaukee Academy of Science	Yes	15.38	42
Riverside High	Milwaukee	No	15.38	304
Wauwatosa Virtual Academy	Wauwatosa	Yes	15.35	25
Charles F Fernandez Center Alt Learning	Stevens Point Area Public	No	15.29	17
Carmen Middle/High School of Science and Technology Northwest Campus	Milwaukee	Yes	15.15	88
MacDowell Montessori School K3-12	Milwaukee	No	15.12	43
Renaissance Charter Academy	River Falls	Yes	15.1	11
iLEAD Individualized Leadership and Entrepreneurship Academic Discovery	Mauston	Yes	15	19
Milwaukee Community Cyber High	Milwaukee	Yes	15	25
Prairie Phoenix Academy	Sun Prairie Area	No	14.95	23
McKinley Academy	Manitowoc	Yes	14.91	16
Waukesha East Alternative School	Waukesha	Yes	14.5	15
Reuther Central High	Kenosha	No	14.47	102
Central High	Sheboygan Area	Yes	14.47	47
Audubon Technology and Communication High	Milwaukee	No	14.47	77
Alliance School of Milwaukee	Milwaukee	Yes	14.44	44
Insight School of Wisconsin High	McFarland	Yes	14.33	30
Sparta Alternative Independent Learning School	Sparta Area	Yes	14.2	6
River Cities High	Wisconsin Rapids	No	14.2	15
Menominee Indian High	Menominee Indian	No	14.17	69
McKinley Charter School	Eau Claire Area	Yes	14.17	15
Pathways High	Pathways High	Yes	14.13	8
James E Dottke Alternative School	West Allis-West Milwaukee	No	14.03	47
Groppi High	Milwaukee	No	14	18
Robert Kupper Learning Center	Tomah Area	No	14	6
Hillcrest School	Kenosha	No	14	10
Hamilton High	Milwaukee	No	13.99	317
Milwaukee Collegiate Academy	Milwaukee Collegiate Academy	Yes	13.97	76
Escuela Verde	Escuela Verde	Yes	13.96	23
Rock River Charter School	Janesville	Yes	13.89	36
Bay View High	Milwaukee	No	13.77	144
Catalyst Academy	New London	Yes	13.45	12
Beloit Learning Academy	Beloit	No	13.36	32
Kenosha eSchool K-12	Kenosha	Yes	13.25	6
Marshall High	Milwaukee	No	13.2	160
Capital High	Madison Metropolitan	No	13.19	44
South Division High	Milwaukee	No	13.19	173
Dr Rosa Minoka-Hill School	Green Bay Area Public	No	13.17	12
Bradley Technology High	Milwaukee	No	13.15	192
Vincent High	Milwaukee	No	13.12	103
Pulaski High	Milwaukee	No	13.09	158
South Accelerated Academy	Milwaukee	No	13	21
Vincent Accelerated Academy	Milwaukee	No	13	7
Project STAY-Supporting Teachers and Youth	Milwaukee	No	13	54
Racine Alternative Learning	Racine Unified	No	13	44
Grandview High	Milwaukee	No	12.86	55
James Madison Academic Campus	Milwaukee	No	12.86	134
Obama School of Career and Technical Education	Milwaukee	No	12.84	79
NOVA Tech-Northwest Opportunities Vocational Academy Technical High	Milwaukee	Yes	12.67	7
NOVA-Northwest Opportunities Vocational Academy	Milwaukee	No	12.58	25
Don Smith Learning Academy	Beaver Dam Unified	No	12.57	8
North Division High 0419	Milwaukee	No	12.45	53
ASSATA High	Milwaukee	No	12.41	20
WHS Information Technology	Milwaukee	No	12.4	116
Wisconsin Conservatory of Lifelong Learning	Milwaukee	No	12.28	44
Nekoosa Academy	Nekoosa	No	12	7
Lad Lake Synergy School	Milwaukee	No	12	8
Shalom High	Milwaukee	No	11.42	25
Transition High	Milwaukee	No	11.13	30
Banner Preparatory School of Milwaukee	Milwaukee	No	9.33	7
